_id,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,address,town,postal,latitude,longitude
,,,,,,,,,,,,,,,,,,,,,,,,,13 REDHILL CL,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,54 SIMS DR,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,5 SEMBAWANG RD,,758330,1.4413385706483,103.822410591339
,,,,,,,,,,,,,,,,,,,,,,,,,46 BEDOK STH AVE 3,,460046,1.32148575339878,103.942854747015
,,,,,,,,,,,,,,,,,,,,,,,,,322 CLEMENTI AVE 5,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,6 SELETAR WEST FARMWAY 6,,798038,1.39792711996528,103.867213748383
,,,,,,,,,,,,,,,,,,,,,,,,,32 TANGLIN HALT RD,,142032,1.29962052462035,103.799386404296
,,,,,,,,,,,,,,,,,,,,,,,,,401 CLEMENTI AVE 1,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,11 GHIM MOH RD,,NIL,1.31106166405562,103.78911765375
,,,,,,,,,,,,,,,,,,,,,,,,,3 LIM CHU KANG RD,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,6 REDHILL CL,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,24 JLN MEMBINA BARAT,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,79 C'WEALTH DR,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,248 ANG MO KIO AVE 2,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,3 TEBAN GDNS RD,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,91 ZION RD,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,71 C'WEALTH DR,,140071,1.29984826214094,103.796977280309
,,,,,,,,,,,,,,,,,,,,,,,,,22 KG BAHRU HILL,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,321 CLEMENTI AVE 5,,129905,1.31200212030821,103.764986676365
,,,,,,,,,,,,,,,,,,,,,,,,,309 ANG MO KIO AVE 1,,569953,1.37701651576853,103.834733409768
,,,,,,,,,,,,,,,,,,,,,,,,,54 TANGLIN HALT RD,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,113 BT MERAH VIEW,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,80 C'WEALTH DR,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,10 TEBAN GDNS RD,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,103 DEPOT RD,,103105,1.2809030169702,103.811146303425
,,,,,,,,,,,,,,,,,,,,,,,,,30 TANGLIN HALT RD,,140030,1.29910609683302,103.799561949337
,,,,,,,,,,,,,,,,,,,,,,,,,45 TANGLIN HALT RD,,141045,1.29919438508046,103.798524522256
,,,,,,,,,,,,,,,,,,,,,,,,,1 EAST COAST RD,,450001,1.31176289799415,103.923113122199
,,,,,,,,,,,,,,,,,,,,,,,,,73 C'WEALTH DR,,140073,1.30002714811722,103.796591839602
,,,,,,,,,,,,,,,,,,,,,,,,,38 DOVER RD,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,10 GHIM MOH RD,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,75 C'WEALTH DR,,140075,1.30163123909487,103.795387142787
,,,,,,,,,,,,,,,,,,,,,,,,,5 REDHILL CL,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,142 HU CHING RD,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,12 REDHILL CL,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,27 TANGLIN HALT RD,,142027,1.29832473669253,103.799839181345
,,,,,,,,,,,,,,,,,,,,,,,,,167 BOON LAY DR,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,172 STIRLING RD,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,5 TIONG BAHRU RD,,162005,1.28620043157708,103.831687678938
,,,,,,,,,,,,,,,,,,,,,,,,,7 REDHILL CL,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,16 HOLLAND DR,,277354,1.31760455676079,103.782221041467
,,,,,,,,,,,,,,,,,,,,,,,,,14 REDHILL CL,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,19 REDHILL CL,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,514 WEST COAST RD,,120514,1.30897250380713,103.75923292909
,,,,,,,,,,,,,,,,,,,,,,,,,142 TIONG BAHRU RD,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,10 REDHILL CL,,NIL,1.28784195477951,103.817971600998
,,,,,,,,,,,,,,,,,,,,,,,,,16 OUTRAM HILL,,169115,1.28425124196544,103.836430417367
,,,,,,,,,,,,,,,,,,,,,,,,,23 KG BAHRU HILL,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,138 ALEXANDRA RD,,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,307 ANG MO KIO AVE 1,,564307,1.36528761496625,103.845512353446
,,,,,,,,,,,,,,,,,,,,,,,,,5 YUNG PING RD,,nan,,
