year_completed,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,mop_year,quarter_label,total_new_units
1937.0,0.0,52.0,270.0,427.0,4.0,0.0,0.0,0.0,1942,1942 Q1,753.0
1938.0,0.0,2.0,6.0,15.0,2.0,1.0,0.0,0.0,1943,1943 Q1,26.0
1949.0,0.0,30.0,503.0,23.0,0.0,0.0,0.0,0.0,1954,1954 Q1,556.0
1958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1963,1963 Q1,0.0
1959.0,0.0,0.0,249.0,0.0,0.0,0.0,0.0,0.0,1964,1964 Q1,249.0
1961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966,1966 Q1,0.0
1962.0,0.0,125.0,944.0,24.0,0.0,0.0,0.0,0.0,1967,1967 Q1,1093.0
1963.0,0.0,582.0,2791.0,139.0,0.0,0.0,0.0,0.0,1968,1968 Q1,3512.0
1964.0,0.0,589.0,4196.0,206.0,1.0,0.0,0.0,0.0,1969,1969 Q1,4992.0
1965.0,0.0,434.0,3085.0,96.0,202.0,0.0,0.0,0.0,1970,1970 Q1,3817.0
1966.0,0.0,309.0,296.0,16.0,195.0,53.0,0.0,0.0,1971,1971 Q1,869.0
1967.0,0.0,411.0,1973.0,483.0,14.0,0.0,0.0,0.0,1972,1972 Q1,2881.0
1968.0,0.0,246.0,3102.0,49.0,6.0,0.0,0.0,0.0,1973,1973 Q1,3403.0
1969.0,0.0,0.0,3640.0,0.0,36.0,0.0,0.0,0.0,1974,1974 Q1,3676.0
1970.0,0.0,260.0,3591.0,144.0,31.0,0.0,0.0,0.0,1975,1975 Q1,4026.0
1971.0,0.0,109.0,3011.0,95.0,46.0,0.0,0.0,0.0,1976,1976 Q1,3261.0
1972.0,0.0,0.0,2593.0,556.0,31.0,0.0,0.0,0.0,1977,1977 Q1,3180.0
1973.0,0.0,0.0,8768.0,2860.0,154.0,0.0,0.0,0.0,1978,1978 Q1,11782.0
1974.0,253.0,81.0,10486.0,3188.0,2195.0,0.0,0.0,0.0,1979,1979 Q1,16203.0
1975.0,0.0,139.0,9993.0,3965.0,2457.0,43.0,0.0,0.0,1980,1980 Q1,16597.0
1976.0,0.0,509.0,11828.0,4527.0,4078.0,45.0,0.0,0.0,1981,1981 Q1,20987.0
1977.0,0.0,408.0,13544.0,10198.0,3962.0,85.0,0.0,0.0,1982,1982 Q1,28197.0
1978.0,0.0,174.0,17548.0,8411.0,3560.0,127.0,0.0,0.0,1983,1983 Q1,29820.0
1979.0,0.0,164.0,14467.0,5991.0,2234.0,154.0,0.0,0.0,1984,1984 Q1,23010.0
1980.0,0.0,575.0,9793.0,5800.0,2324.0,76.0,0.0,0.0,1985,1985 Q1,18568.0
1981.0,0.0,52.0,4788.0,3813.0,2472.0,111.0,0.0,0.0,1986,1986 Q1,11236.0
1982.0,0.0,11.0,9173.0,5594.0,3646.0,34.0,0.0,0.0,1987,1987 Q1,18458.0
1983.0,0.0,0.0,12464.0,15484.0,4999.0,1935.0,0.0,0.0,1988,1988 Q1,34882.0
1984.0,0.0,0.0,24032.0,34697.0,9997.0,4368.0,0.0,0.0,1989,1989 Q1,73094.0
1985.0,0.0,0.0,11905.0,21109.0,4621.0,4002.0,0.0,0.0,1990,1990 Q1,41637.0
1986.0,0.0,0.0,7931.0,17985.0,6546.0,4005.0,0.0,0.0,1991,1991 Q1,36467.0
1987.0,0.0,0.0,4985.0,13681.0,7313.0,2493.0,367.0,0.0,1992,1992 Q1,28839.0
